Company,Symbol
3M Company,MMM
American Express,AXP
Amgen,AMGN
Apple Inc.,AAPL
Boeing,BA
Caterpillar Inc.,CAT
Chevron Corporation,CVX
Cisco Systems,CSCO
The Coca-Cola Company,KO
Dow Inc.,DOW
Goldman Sachs,GS
The Home Depot,HD
Honeywell,HON
IBM,IBM
Intel,INTC
Johnson & Johnson,JNJ
JPMorgan Chase,JPM
McDonald's,MCD
Merck & Co.,MRK
Microsoft,MSFT
Nike,NKE
Procter & Gamble,PG
Salesforce,CRM
The Travelers Companies,TRV
UnitedHealth Group,UNH
Verizon,VZ
Visa Inc.,V
Walgreens Boots Alliance,WBA
Walmart,WMT
The Walt Disney Company,DIS
