,AAPL,AMGN,AXP,CAT,CVX,GS,HD,INTC,JPM,MMM,MSFT,TRV,WMT
AAPL,1.0,0.6454101755614926,-0.19597171086754467,-0.33494540537588063,-0.33023109702061054,-0.04888756740079059,0.0123315742227179,0.5622656360505339,-0.437180203879551,0.08881234157490561,-0.03800369998686044,0.3067731363255577,-0.07060868053476334
AMGN,0.6454101755614926,1.0,0.15595496687626145,-0.04500809746036433,-0.10365359523744251,0.2700676996780328,0.41344453047348717,0.8139140996818316,-0.0026866393296021613,0.6060404897607498,0.36053547790602525,0.47218235738524,0.5989892703114339
AXP,-0.19597171086754467,0.15595496687626145,1.0,0.2510671169221544,-0.11228943447436412,0.16164838185236508,-0.05559424067667097,-0.2835835149145629,-0.21786450554591175,-0.10530470166241697,-0.4257819564160382,0.22452251914844817,0.35657992209634165
CAT,-0.33494540537588063,-0.04500809746036433,0.2510671169221544,1.0,0.8704149955623123,0.4486780923012797,0.18116575733931808,-0.10849960876460579,0.4287179592150251,0.49390828594866,0.23653279990203985,0.008262368762865053,-0.10801303830346895
CVX,-0.33023109702061054,-0.10365359523744251,-0.11228943447436412,0.8704149955623123,1.0,0.5942159104895111,0.46087755533982766,0.05354670471780285,0.7153797764044364,0.6297566744664749,0.42465196967385294,0.14721833157266823,-0.056906452045396
GS,-0.04888756740079059,0.2700676996780328,0.16164838185236508,0.4486780923012797,0.5942159104895111,1.0,0.44872994218840895,0.10148489266115701,0.7242938359371375,0.6801641427333629,0.10710659272132793,0.6277292396121512,0.28146438638497717
HD,0.0123315742227179,0.41344453047348717,-0.05559424067667097,0.18116575733931808,0.46087755533982766,0.44872994218840895,1.0,0.6785796865783476,0.5625724843150263,0.6627296831189199,0.5952431880554876,0.5855830483793321,0.7004379759997394
INTC,0.5622656360505339,0.8139140996818316,-0.2835835149145629,-0.10849960876460579,0.05354670471780285,0.10148489266115701,0.6785796865783476,1.0,0.12793188206450135,0.6526064223953306,0.707863005933902,0.42603601443080596,0.5739791492196308
JPM,-0.437180203879551,-0.0026866393296021613,-0.21786450554591175,0.4287179592150251,0.7153797764044364,0.7242938359371375,0.5625724843150263,0.12793188206450135,1.0,0.6520177470612717,0.4130555067936143,0.16718732978243117,0.290067855403645
MMM,0.08881234157490561,0.6060404897607498,-0.10530470166241697,0.49390828594866,0.6297566744664749,0.6801641427333629,0.6627296831189199,0.6526064223953306,0.6520177470612717,1.0,0.7542070039083734,0.5205865564485949,0.5015907539745357
MSFT,-0.03800369998686044,0.36053547790602525,-0.4257819564160382,0.23653279990203985,0.42465196967385294,0.10710659272132793,0.5952431880554876,0.707863005933902,0.4130555067936143,0.7542070039083734,1.0,0.21598603709509093,0.43154178007576854
TRV,0.3067731363255577,0.47218235738524,0.22452251914844817,0.008262368762865053,0.14721833157266823,0.6277292396121512,0.5855830483793321,0.42603601443080596,0.16718732978243117,0.5205865564485949,0.21598603709509093,1.0,0.5311336530717974
WMT,-0.07060868053476334,0.5989892703114339,0.35657992209634165,-0.10801303830346895,-0.056906452045396,0.28146438638497717,0.7004379759997394,0.5739791492196308,0.290067855403645,0.5015907539745357,0.43154178007576854,0.5311336530717974,1.0
