,entity,type,entity_cl
1,Walmart,ORG,WMT
17,Disney,ORG,DIS
46,Chevron,ORG,CVX
74,Caterpillar,ORG,CAT
77,IBM,ORG,IBM
135,Apple,ORG,AAPL
223,MSFT,ORG,MSFT
334,Dow Jones,ORG,DOW
380,UNH,ORG,UNH
504,Walgreens,ORG,WBA
643,Nike,ORG,NKE
672,Verizon,ORG,VZ
930,American Express,ORG,AXP
1314,Johnson  Johnson,ORG,JNJ
1425,MCD,ORG,MCD
1463,PG,ORG,PG
1500,BA,ORG,BA
1513,GS,ORG,GS
1519,JPM,ORG,JPM
2434,Home Depot,ORG,HD
2586,Travelers,ORG,TRV
2984,Cisco,ORG,CSCO
3075,Intel,ORG,INTC
4048,Honeywell,ORG,HON
6729,Visa,ORG,V
7002,Merck,ORG,MRK
7482,Salesforce,ORG,CRM
9906,3M,ORG,MMM
10073,Amgen,ORG,AMGN
10364,KO,ORG,KO
